tactics_problem_id	rating	rd	attempt_count	average_seconds	move_count	tags	fen	tag	cluster	bpr_cluster	newcluster
114507	400.0	40.0	4184.0	12.0	1.0	Mate in 1	https://lichess.org/analysis/8/8/8/4Pk1R/5P1P/3r2P1/6K1/8_b_-_-	Mate in 1	9	4	2
170791	400.0	51.4368	4036.0	20.0	1.0	Mate in 1	https://lichess.org/analysis/r4r1k/pQ4Rp/1p1p1p2/4N3/3P2n1/P7/1P2B1PP/4q2K_w_-_-	Mate in 1	9	4	2
106908	416.0	40.0	19918.0	35.0	2.0	Mate in 2	https://lichess.org/analysis/8/1pr2p1k/p3pBp1/4p2P/2r1P3/2P5/PP3KR1/7R_b_-_-	Mate in 2	17	11	2
110548	838.0	42.68	45644.0	77.0	3.0	Mate in 3+	https://lichess.org/analysis/1kr5/p4p2/7p/4p1P1/1b3qPK/1b3P2/1P4B1/Q5NR_w_-_-	Mate in 3+	16	19	5
35038	2303.0	44.74	11165.0	97.0	4.0	Attacking Castled King,Mating Net,Queen Sacrifice	https://lichess.org/analysis/rnr3k1/p1q2pbQ/1p4p1/2p2p2/2b1N3/2PP4/PP4P1/R1B1K2R_b_KQ_-	Queen Sacrifice	4	1	18
60850	909.0	44.27	54381.0	51.0	2.0	Endgame Tactics,Interference,Pawn Promotion	https://lichess.org/analysis/8/1R6/p3k3/8/r4KPP/1p6/5P2/8_w_-_-	Interference	14	19	6
151934	1310.0	45.25	61061.0	82.0	2.0	Pin,Remove the Defender,Trapped Piece	https://lichess.org/analysis/5rk1/pp3pp1/5b1p/3P1b2/1q2p3/1P1nPNP1/P1Q2PBP/3N1RK1_w_-_-	Trapped Piece	13	6	12
41562	694.0	41.33	41621.0	32.0	2.0	Remove the Defender	https://lichess.org/analysis/3r4/1p3kr1/7Q/6p1/4p3/2N5/PPP2PqP/3bKR2_w_-_-	Remove the Defender	16	19	1
160715	400.0	40.0	4508.0	12.0	1.0	Mate in 1	https://lichess.org/analysis/r6k/5Qp1/p6p/1p1n4/2pqp3/6RP/5PPK/3R4_b_-_-	Mate in 1	9	4	2
46237	633.0	42.01	29588.0	43.0	1.0	Hanging Piece	https://lichess.org/analysis/r1b1kb1r/pppp1ppp/2n5/2q5/2B1nB2/3P1N2/PPP3PP/RN1Q1RK1_w_kq_-	Hanging Piece	17	13	1
92049	1772.0	44.9	42918.0	89.0	2.0	Decoy / Deflection,Discovered Attack,Fork / Double Attack,Trapped Piece	https://lichess.org/analysis/r3kb1r/ppp1pp1p/5n2/3P1bp1/1qB5/1PN2N2/P1nB1PPP/R2Q1K1R_b_kq_-	Trapped Piece	4	9	19
87749	430.0	40.0	5447.0	16.0	1.0	Mate in 1	https://lichess.org/analysis/rn2kbnr/pbp2ppp/4p1q1/1p6/3p4/2PN1N1P/PP1PBPP1/R1BQ1RK1_w_kq_-	Mate in 1	9	5	2
62547	437.0	40.15	7043.0	76.0	1.0	Mate in 1	https://lichess.org/analysis/r3kb1r/pp1b1pp1/2n1p3/3p4/3P1P2/1N1B2p1/PPP1K1q1/R1BQR3_w_kq_-	Mate in 1	9	5	2
144727	1013.0	44.98	50518.0	37.0	1.0	Basic Checkmates,Mate in 1	https://lichess.org/analysis/r5k1/r3bb2/8/1qp1p3/1pN1Ppp1/1P2BPK1/P1R3Q1/R7_w_-_-	Basic Checkmates	10	15	6
135354	1937.0	44.92	30368.0	77.0	2.0	Desperado,Endgame Tactics,Fork / Double Attack,Overloading,Pawn Promotion	https://lichess.org/analysis/1r1q1k1r/Q3pPbp/3p2pn/2p2bN1/2B5/8/PP3PPP/nNBKR3_b_-_-	Desperado	4	1	20
85757	427.0	45.09	51919.0	32.0	2.0	Discovered Attack,Hanging Piece,Simplification	https://lichess.org/analysis/r1bqkbnr/p2n2pp/2p5/1p2p3/4PB2/3Q3N/PP3PPP/RN2KB1R_w_KQkq_-	Simplification	5	7	2
51979	1013.0	45.26	63795.0	31.0	1.0	Hanging Piece	https://lichess.org/analysis/2rQ2k1/1p3ppp/1p6/5b2/1P1n1N1P/P4Pq1/2P1N1P1/2KR3R_b_-_-	Hanging Piece	14	6	15
50030	909.0	42.85	51186.0	26.0	2.0	Fork / Double Attack,Hanging Piece	https://lichess.org/analysis/rnbqkb1r/ppp2ppp/3p1n2/4p3/4P3/2P2N1P/PP1P1PP1/RNBQKB1R_b_KQkq_-	Hanging Piece	14	17	7
36923	1636.0	44.88	55638.0	78.0	2.0	Desperado,Exchange Sacrifice,Sacrifice,Trapped Piece,Clearance Sacrifice	https://lichess.org/analysis/r4rk1/pp2bp1p/1qp1p1p1/4Pn2/1PP2QP1/P6P/4BP2/R1BR2K1_b_-_g3	Desperado	5	9	10
